art_codigo;art_nombre;art_subgrupo;art_empresa;art_medida;art_tarifa;art_descripcion;art_tipoarticulo;art_tipodestino;art_tarifa_consumo;art_referencia;art_econ_codigo;art_estado;art_gravado;art_img_nombre;art_img_ubicacion;gru_id;tip_id;art_tienetarifacondicionada;art_nrouvt_tarifacondicion;art_tarifacondicionada;econ_id;tir_codigo;art_dia_sin_iva;artdpto_id;art_peso;art_tarifa_consumo_esp;art_tarcons_mayorvlriva;art_precio_venta;art_cantidad;art_precio_costo
258250;Brahman Hojaldre Marg Exquisita 20X500Gr;2071;901418981;g;IVA19;;Articulo;MERCANCIA;;7709855424629;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;9;40;6
315140;Grasa La Excelencia X 15Kg;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;315140;;Activo;true;;;1586;547;;;;3639;NOAPLICA;;;;;;8;30500;5
334965;Azucar X 50 Kg;1855;901418981;G;IVA 5%;;Articulo;MERCANCIA;;334965;;Activo;true;;;1574;563;;;;3639;NOAPLICA;;;;;;5;4;4
1053;Harina De Trigo Elite X 50 Kg;2057;901418981;g;IVA 5%;;Articulo;MERCANCIA;;770736000265;;Activo;true;;;1585;547;;;;3641;NOAPLICA;;;;;;4;256000;4
2677;Harina De Congelado ;2057;901418981;g;IVA 5%;;Articulo;MERCANCIA;;2677;;Activo;true;;;1585;547;;;;3641;NOAPLICA;;;;;;5;135066;3
3107;Harina La Insuperable X 50Kg;2057;901418981;g;IVA 5%;;Articulo;MERCANCIA;;3107;;Activo;false;;;1585;547;;;;3641;NOAPLICA;;;;;;4;360560;3
1012;Arequipe El Corral Tapa Verde X 5 Kg;2071;901418981;UND;;;Articulo;MERCANCIA;;1012;;Activo;false;;;1586;547;;;;3639;NOAPLICA;;;;;;46000;6;39000
1104;Esencia Canela Astek X 500 Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7707237077548;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;6478;10;4468
1105;Esencia Prodisabor Chicle X 500 Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7707373082529;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;9011;6;6214
1107;Esencia Banano Gourmet X 510 Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7708350073608;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;4543;9;3133
11106;Esencia Vainilla Blanca Gourmet X 510 Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7708350073141;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;6000;5;3342
1129;Platos Hondos Darnel 20 X 30 Oz;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;1129;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;3084;84;2127
1131;Rojo Escarlata Deliaroma X 500 Gr;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;1131;;Activo;true;;;1586;547;;;;3639;NOAPLICA;;;;;;18011;25;12422
1135;Esencia Limon Carolesen 510 Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7707175882020;;Activo;true;;;1586;547;;;;3639;NOAPLICA;;;;;;12000;3;9587
1153;Tenedor Tami X 20 Und;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;64566717645;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;1385;1;955
118;Obleasvida Alimentos X 370 Gr X 50 Unid;2057;901418981;UND;IVA19;;Articulo;MERCANCIA;;7707268638107;;Activo;true;;;1585;547;;;;3639;NOAPLICA;;;;;;7500;1;5617
1198;Molde Para Torta N 10;2050;901418981;UND;IVA19;;Articulo;MERCANCIA;;1198;;Activo;true;;;1584;564;;;;3641;NOAPLICA;;;;;;7000;16;4097
1201;Molde Cuadrado X 1Kg;2050;901418981;UND;IVA19;;Articulo;MERCANCIA;;1201;;Activo;true;;;1584;564;;;;3637;NOAPLICA;;;;;;1306;36;901
1205;Molde Para Torta Redondo X 2 Libras;2050;901418981;UND;IVA19;;Articulo;MERCANCIA;;1205;;Activo;true;;;1584;564;;;;3641;NOAPLICA;;;;;;23241;4;16028
1206;Molde Para Torta Redondo X 1 Libra;2050;901418981;UND;IVA19;;Articulo;MERCANCIA;;1206;;Activo;true;;;1584;564;;;;3641;NOAPLICA;;;;;;1312;4;905
